Timestamp,X,Y,Z
2569-08-21 12:24:37.079,0.01508399,0.6661832,0.3243574
2569-08-21 12:24:37.092,0.01499032,0.6649283,0.3253498
2569-08-21 12:24:37.092,0.01499032,0.6649283,0.3253498
2569-08-21 12:24:37.104,0.01499032,0.6649283,0.3253498
2569-08-21 12:24:37.114,0.01489724,0.6636874,0.3263105
2569-08-21 12:24:37.114,0.01489724,0.6636874,0.3263105
2569-08-21 12:24:37.127,0.01489724,0.6636874,0.3263105
2569-08-21 12:24:37.135,0.0147274,0.6614388,0.3279998
2569-08-21 12:24:37.135,0.0147274,0.6614388,0.3279998
2569-08-21 12:24:37.144,0.0147274,0.6614388,0.3279998
2569-08-21 12:24:37.144,0.01459446,0.659692,0.3292682
2569-08-21 12:24:37.144,0.01459446,0.659692,0.3292682
2569-08-21 12:24:37.153,0.01459446,0.659692,0.3292682
2569-08-21 12:24:37.157,0.01452724,0.6588129,0.3298923
2569-08-21 12:24:37.157,0.01452724,0.6588129,0.3298923
2569-08-21 12:24:37.179,0.01441047,0.6572923,0.3309498
2569-08-21 12:24:37.179,0.01441047,0.6572923,0.3309498
2569-08-21 12:24:37.190,0.01441047,0.6572923,0.3309498
2569-08-21 12:24:37.190,0.0142433,0.6551291,0.3324074
2569-08-21 12:24:37.190,0.0142433,0.6551291,0.3324074
2569-08-21 12:24:37.198,0.0142433,0.6551291,0.3324074
2569-08-21 12:24:37.203,0.01417488,0.6542484,0.3329855
2569-08-21 12:24:37.203,0.01417488,0.6542484,0.3329855
2569-08-21 12:24:37.224,0.01408376,0.6530793,0.3337394
2569-08-21 12:24:37.224,0.01408376,0.6530793,0.3337394
2569-08-21 12:24:37.233,0.01408376,0.6530793,0.3337394
2569-08-21 12:24:37.233,0.01408376,0.6530793,0.3337394
2569-08-21 12:24:37.234,0.0139355,0.6511863,0.3349281
2569-08-21 12:24:37.234,0.0139355,0.6511863,0.3349281
2569-08-21 12:24:37.244,0.01388223,0.6505087,0.3353442
2569-08-21 12:24:37.244,0.01388223,0.6505087,0.3353442
2569-08-21 12:24:37.252,0.01381147,0.6496112,0.3358878
2569-08-21 12:24:37.252,0.01381147,0.6496112,0.3358878
2569-08-21 12:24:37.263,0.01381147,0.6496112,0.3358878
2569-08-21 12:24:37.269,0.01375138,0.6488506,0.3363417
2569-08-21 12:24:37.269,0.01375138,0.6488506,0.3363417
2569-08-21 12:24:37.277,0.01375138,0.6488506,0.3363417
2569-08-21 12:24:37.277,0.01366891,0.6478098,0.3369533
2569-08-21 12:24:37.277,0.01366891,0.6478098,0.3369533
2569-08-21 12:24:37.290,0.01362431,0.6472483,0.3372784
2569-08-21 12:24:37.290,0.01362431,0.6472483,0.3372784
2569-08-21 12:24:37.298,0.01362431,0.6472483,0.3372784
2569-08-21 12:24:37.298,0.0135692,0.6465557,0.3376751
2569-08-21 12:24:37.298,0.0135692,0.6465557,0.3376751
2569-08-21 12:24:37.314,0.01352805,0.6460394,0.3379678
2569-08-21 12:24:37.314,0.01352805,0.6460394,0.3379678
2569-08-21 12:24:37.324,0.01352805,0.6460394,0.3379678
2569-08-21 12:24:37.324,0.01346501,0.64525,0.3384099
2569-08-21 12:24:37.324,0.01346501,0.64525,0.3384099
2569-08-21 12:24:37.333,0.01346501,0.64525,0.3384099
2569-08-21 12:24:37.335,0.01343467,0.6448706,0.3386201
2569-08-21 12:24:37.335,0.01343467,0.6448706,0.3386201
2569-08-21 12:24:37.344,0.0134039,0.6444864,0.3388316
